name,team,position,value,total_points,points_per_game,elapsed
Nick Pope,Newcastle,GK,5.3,56,4.0,3.291733741760254
Nathan Aké,Man City,DEF,5.0,97,3.6,3.291733741760254
Pedro Porro,Spurs,DEF,5.8,112,3.5,3.291733741760254
Jakub Kiwior,Arsenal,DEF,4.1,66,3.5,3.291733741760254
Jarrad Branthwaite,Everton,DEF,4.5,117,3.5,3.291733741760254
Cole Palmer,Chelsea,MID,6.2,223,7.2,3.291733741760254
Bukayo Saka,Arsenal,MID,9.0,224,6.6,3.291733741760254
Phil Foden,Man City,MID,8.4,204,6.4,3.291733741760254
Bryan Mbeumo,Brentford,MID,6.8,113,4.9,3.291733741760254
Erling Haaland,Man City,FWD,14.2,200,7.1,3.291733741760254
Ollie Watkins,Aston Villa,FWD,8.9,221,6.3,3.291733741760254
