name,team,position,value,total_points,points_per_game,elapsed
Nick Pope,Newcastle,GK,5.3,56,4.0,3.317291736602783
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.4,3.317291736602783
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,141,4.1,3.317291736602783
Nathan Aké,Man City,DEF,5.0,97,3.6,3.317291736602783
Jarrad Branthwaite,Everton,DEF,4.5,117,3.5,3.317291736602783
Son Heung-min,Spurs,MID,9.9,202,6.3,3.317291736602783
Kevin De Bruyne,Man City,MID,10.5,84,5.6,3.317291736602783
Jarrod Bowen,West Ham,MID,7.6,180,5.5,3.317291736602783
Bryan Mbeumo,Brentford,MID,6.8,113,4.9,3.317291736602783
Dominic Solanke,Bournemouth,FWD,7.1,168,4.7,3.317291736602783
Nicolas Jackson,Chelsea,FWD,7.0,133,4.2,3.317291736602783
