name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,100,3.8,3.3203485012054443
William Saliba,Arsenal,DEF,5.9,153,4.2,3.3203485012054443
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,141,4.1,3.3203485012054443
Nathan Aké,Man City,DEF,5.0,97,3.6,3.3203485012054443
Jarrad Branthwaite,Everton,DEF,4.5,117,3.5,3.3203485012054443
Cole Palmer,Chelsea,MID,6.2,223,7.2,3.3203485012054443
Son Heung-min,Spurs,MID,9.9,202,6.3,3.3203485012054443
Kevin De Bruyne,Man City,MID,10.5,84,5.6,3.3203485012054443
Martin Ødegaard,Arsenal,MID,8.6,173,5.2,3.3203485012054443
Ollie Watkins,Aston Villa,FWD,8.9,221,6.3,3.3203485012054443
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.5,128,4.3,3.3203485012054443
