name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,98,3.9,0.3600904941558838
Benjamin White,Arsenal,DEF,6.1,168,4.9,0.3600904941558838
Pedro Porro,Spurs,DEF,5.8,112,3.6,0.3600904941558838
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,0.3600904941558838
Jakub Kiwior,Arsenal,DEF,4.2,66,3.5,0.3600904941558838
Mohamed Salah,Liverpool,MID,13.5,190,6.6,0.3600904941558838
Bukayo Saka,Arsenal,MID,9.0,214,6.5,0.3600904941558838
Phil Foden,Man City,MID,8.4,199,6.4,0.3600904941558838
Bryan Mbeumo,Brentford,MID,6.8,110,5.0,0.3600904941558838
Ollie Watkins,Aston Villa,FWD,9.0,219,6.4,0.3600904941558838
Alexander Isak,Newcastle,FWD,8.3,147,5.7,0.3600904941558838
