name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,107,3.8,0.34018659591674805
Benjamin White,Arsenal,DEF,6.1,168,4.9,0.34018659591674805
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,0.34018659591674805
William Saliba,Arsenal,DEF,5.9,147,4.2,0.34018659591674805
Pedro Porro,Spurs,DEF,5.8,112,3.6,0.34018659591674805
Cole Palmer,Chelsea,MID,6.2,215,7.2,0.34018659591674805
Anthony Gordon,Newcastle,MID,6.3,169,5.3,0.34018659591674805
Bryan Mbeumo,Brentford,MID,6.8,110,5.0,0.34018659591674805
Ben Brereton,Sheffield Utd,MID,5.0,50,4.5,0.34018659591674805
Erling Haaland,Man City,FWD,14.1,179,6.6,0.34018659591674805
Chris Wood,Nott'm Forest,FWD,4.8,114,4.1,0.34018659591674805
