name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,0.34619760513305664
William Saliba,Arsenal,DEF,5.9,147,4.2,0.34619760513305664
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,134,4.1,0.34619760513305664
Kyle Walker,Man City,DEF,5.4,106,3.8,0.34619760513305664
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,0.34619760513305664
Cole Palmer,Chelsea,MID,6.2,215,7.2,0.34619760513305664
Bukayo Saka,Arsenal,MID,9.0,214,6.5,0.34619760513305664
Michael Olise,Crystal Palace,MID,5.6,91,5.7,0.34619760513305664
Jarrod Bowen,West Ham,MID,7.6,178,5.6,0.34619760513305664
Ollie Watkins,Aston Villa,FWD,9.0,219,6.4,0.34619760513305664
Dominic Solanke,Bournemouth,FWD,7.2,166,4.7,0.34619760513305664
