name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,122,4.2,0.34006595611572266
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,0.34006595611572266
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,134,4.1,0.34006595611572266
Kyle Walker,Man City,DEF,5.4,106,3.8,0.34006595611572266
Nathan Aké,Man City,DEF,5.0,95,3.7,0.34006595611572266
Cole Palmer,Chelsea,MID,6.2,215,7.2,0.34006595611572266
Mohamed Salah,Liverpool,MID,13.5,190,6.6,0.34006595611572266
Anthony Gordon,Newcastle,MID,6.3,169,5.3,0.34006595611572266
Douglas Luiz Soares de Paulo,Aston Villa,MID,5.4,143,4.5,0.34006595611572266
Alexander Isak,Newcastle,FWD,8.3,147,5.7,0.34006595611572266
Julián Álvarez,Man City,FWD,6.4,147,4.5,0.34006595611572266
