name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,144,4.0,3.559635639190674
Benjamin White,Arsenal,DEF,6.1,174,5.0,3.559635639190674
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.4,3.559635639190674
Jarrad Branthwaite,Everton,DEF,4.5,117,3.5,3.559635639190674
Thiago Emiliano da Silva,Chelsea,DEF,5.0,94,3.4,3.559635639190674
Bukayo Saka,Arsenal,MID,9.0,224,6.6,3.559635639190674
Son Heung-min,Spurs,MID,9.9,202,6.3,3.559635639190674
Jarrod Bowen,West Ham,MID,7.6,180,5.5,3.559635639190674
Martin Ødegaard,Arsenal,MID,8.6,173,5.2,3.559635639190674
Jean-Philippe Mateta,Crystal Palace,FWD,5.1,136,4.1,3.559635639190674
Taiwo Awoniyi,Nott'm Forest,FWD,6.3,65,3.6,3.559635639190674
