name,team,position,value,total_points,points_per_game,elapsed
Nick Pope,Newcastle,GK,5.3,56,4.0,3.513821601867676
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.4,3.513821601867676
William Saliba,Arsenal,DEF,5.9,153,4.2,3.513821601867676
Joško Gvardiol,Man City,DEF,5.1,94,3.8,3.513821601867676
Nathan Aké,Man City,DEF,5.0,97,3.6,3.513821601867676
Cole Palmer,Chelsea,MID,6.2,223,7.2,3.513821601867676
Mohamed Salah,Liverpool,MID,13.4,203,6.8,3.513821601867676
Bukayo Saka,Arsenal,MID,9.0,224,6.6,3.513821601867676
Michael Olise,Crystal Palace,MID,5.6,107,6.3,3.513821601867676
Rodrigo Muniz Carvalho,Fulham,FWD,4.4,94,3.9,3.513821601867676
Rasmus Højlund,Man Utd,FWD,7.1,97,3.6,3.513821601867676
