name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,144,4.0,3.740556240081787
Benjamin White,Arsenal,DEF,6.1,174,5.0,3.740556240081787
Joško Gvardiol,Man City,DEF,5.1,94,3.8,3.740556240081787
Manuel Akanji,Man City,DEF,5.0,98,3.6,3.740556240081787
Pedro Porro,Spurs,DEF,5.8,112,3.5,3.740556240081787
Mohamed Salah,Liverpool,MID,13.4,203,6.8,3.740556240081787
Phil Foden,Man City,MID,8.4,204,6.4,3.740556240081787
Michael Olise,Crystal Palace,MID,5.6,107,6.3,3.740556240081787
Kai Havertz,Arsenal,MID,7.5,168,4.8,3.740556240081787
Ollie Watkins,Aston Villa,FWD,8.9,221,6.3,3.740556240081787
Darwin Núñez Ribeiro,Liverpool,FWD,7.5,130,3.8,3.740556240081787
