name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,144,4.0,3.451829195022583
Kyle Walker,Man City,DEF,5.4,108,3.7,3.451829195022583
Nathan Aké,Man City,DEF,5.0,97,3.6,3.451829195022583
Pedro Porro,Spurs,DEF,5.8,112,3.5,3.451829195022583
Marcos Senesi,Bournemouth,DEF,4.4,98,3.4,3.451829195022583
Mohamed Salah,Liverpool,MID,13.4,203,6.8,3.451829195022583
Bukayo Saka,Arsenal,MID,9.0,224,6.6,3.451829195022583
Kevin De Bruyne,Man City,MID,10.5,84,5.6,3.451829195022583
Martin Ødegaard,Arsenal,MID,8.6,173,5.2,3.451829195022583
Alexander Isak,Newcastle,FWD,8.4,154,5.7,3.451829195022583
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.5,128,4.3,3.451829195022583
