name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,128,4.3,3.5842037200927734
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.4,3.5842037200927734
Joško Gvardiol,Man City,DEF,5.1,94,3.8,3.5842037200927734
Nathan Aké,Man City,DEF,5.0,97,3.6,3.5842037200927734
Marcos Senesi,Bournemouth,DEF,4.4,98,3.4,3.5842037200927734
Bukayo Saka,Arsenal,MID,9.0,224,6.6,3.5842037200927734
Phil Foden,Man City,MID,8.4,204,6.4,3.5842037200927734
Son Heung-min,Spurs,MID,9.9,202,6.3,3.5842037200927734
Jarrod Bowen,West Ham,MID,7.6,180,5.5,3.5842037200927734
Ollie Watkins,Aston Villa,FWD,8.9,221,6.3,3.5842037200927734
Chris Wood,Nott'm Forest,FWD,4.8,116,4.0,3.5842037200927734
