name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,144,4.0,3.467132091522217
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.4,3.467132091522217
William Saliba,Arsenal,DEF,5.9,153,4.2,3.467132091522217
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,3.467132091522217
Pedro Porro,Spurs,DEF,5.8,112,3.5,3.467132091522217
Cole Palmer,Chelsea,MID,6.2,223,7.2,3.467132091522217
Phil Foden,Man City,MID,8.4,204,6.4,3.467132091522217
Son Heung-min,Spurs,MID,9.9,202,6.3,3.467132091522217
Anthony Gordon,Newcastle,MID,6.4,175,5.3,3.467132091522217
Dominic Solanke,Bournemouth,FWD,7.1,168,4.7,3.467132091522217
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.5,128,4.3,3.467132091522217
