name,team,position,value,total_points,points_per_game,elapsed
Nick Pope,Newcastle,GK,5.3,56,4.0,3.7772371768951416
Benjamin White,Arsenal,DEF,6.1,174,5.0,3.7772371768951416
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,141,4.1,3.7772371768951416
Joško Gvardiol,Man City,DEF,5.1,94,3.8,3.7772371768951416
Pedro Porro,Spurs,DEF,5.8,112,3.5,3.7772371768951416
Mohamed Salah,Liverpool,MID,13.4,203,6.8,3.7772371768951416
Son Heung-min,Spurs,MID,9.9,202,6.3,3.7772371768951416
Anthony Gordon,Newcastle,MID,6.4,175,5.3,3.7772371768951416
Bryan Mbeumo,Brentford,MID,6.8,113,4.9,3.7772371768951416
Dominic Solanke,Bournemouth,FWD,7.1,168,4.7,3.7772371768951416
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.5,128,4.3,3.7772371768951416
