name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,128,4.3,3.6235158443450928
Benjamin White,Arsenal,DEF,6.1,174,5.0,3.6235158443450928
Manuel Akanji,Man City,DEF,5.0,98,3.6,3.6235158443450928
Pedro Porro,Spurs,DEF,5.8,112,3.5,3.6235158443450928
Jarrad Branthwaite,Everton,DEF,4.5,117,3.5,3.6235158443450928
Cole Palmer,Chelsea,MID,6.2,223,7.2,3.6235158443450928
Mohamed Salah,Liverpool,MID,13.4,203,6.8,3.6235158443450928
Phil Foden,Man City,MID,8.4,204,6.4,3.6235158443450928
Son Heung-min,Spurs,MID,9.9,202,6.3,3.6235158443450928
Alexander Isak,Newcastle,FWD,8.4,154,5.7,3.6235158443450928
Chris Wood,Nott'm Forest,FWD,4.8,116,4.0,3.6235158443450928
