name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,98,3.9,32.35205316543579
Manuel Akanji,Man City,DEF,5.0,96,3.7,32.35205316543579
Joško Gvardiol,Man City,DEF,5.0,88,3.7,32.35205316543579
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,32.35205316543579
Jakub Kiwior,Arsenal,DEF,4.2,66,3.5,32.35205316543579
Mohamed Salah,Liverpool,MID,13.5,190,6.6,32.35205316543579
Bukayo Saka,Arsenal,MID,9.0,214,6.5,32.35205316543579
Son Heung-min,Spurs,MID,9.9,195,6.3,32.35205316543579
Bryan Mbeumo,Brentford,MID,6.8,110,5.0,32.35205316543579
Alexander Isak,Newcastle,FWD,8.3,147,5.7,32.35205316543579
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,126,4.3,32.35205316543579
