name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,122,4.2,33.96481275558472
Benjamin White,Arsenal,DEF,6.1,168,4.9,33.96481275558472
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,33.96481275558472
Joško Gvardiol,Man City,DEF,5.0,88,3.7,33.96481275558472
Pedro Porro,Spurs,DEF,5.8,112,3.6,33.96481275558472
Mohamed Salah,Liverpool,MID,13.5,190,6.6,33.96481275558472
Bukayo Saka,Arsenal,MID,9.0,214,6.5,33.96481275558472
Jarrod Bowen,West Ham,MID,7.6,178,5.6,33.96481275558472
Douglas Luiz Soares de Paulo,Aston Villa,MID,5.4,143,4.5,33.96481275558472
Alexander Isak,Newcastle,FWD,8.3,147,5.7,33.96481275558472
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,126,4.3,33.96481275558472
