name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,122,4.2,33.25120568275452
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,33.25120568275452
Kyle Walker,Man City,DEF,5.4,106,3.8,33.25120568275452
Pedro Porro,Spurs,DEF,5.8,112,3.6,33.25120568275452
Jakub Kiwior,Arsenal,DEF,4.2,66,3.5,33.25120568275452
Mohamed Salah,Liverpool,MID,13.5,190,6.6,33.25120568275452
Michael Olise,Crystal Palace,MID,5.6,91,5.7,33.25120568275452
Anthony Gordon,Newcastle,MID,6.3,169,5.3,33.25120568275452
Bryan Mbeumo,Brentford,MID,6.8,110,5.0,33.25120568275452
Ollie Watkins,Aston Villa,FWD,9.0,219,6.4,33.25120568275452
Alexander Isak,Newcastle,FWD,8.3,147,5.7,33.25120568275452
