name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,98,3.9,32.88702082633972
Kyle Walker,Man City,DEF,5.4,106,3.8,32.88702082633972
Manuel Akanji,Man City,DEF,5.0,96,3.7,32.88702082633972
Pedro Porro,Spurs,DEF,5.8,112,3.6,32.88702082633972
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,32.88702082633972
Cole Palmer,Chelsea,MID,6.2,215,7.2,32.88702082633972
Mohamed Salah,Liverpool,MID,13.5,190,6.6,32.88702082633972
Bukayo Saka,Arsenal,MID,9.0,214,6.5,32.88702082633972
Jarrod Bowen,West Ham,MID,7.6,178,5.6,32.88702082633972
Alexander Isak,Newcastle,FWD,8.3,147,5.7,32.88702082633972
Rodrigo Muniz Carvalho,Fulham,FWD,4.5,92,4.0,32.88702082633972
