name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,32.71568059921265
Benjamin White,Arsenal,DEF,6.1,168,4.9,32.71568059921265
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,32.71568059921265
Manuel Akanji,Man City,DEF,5.0,96,3.7,32.71568059921265
Nathan Aké,Man City,DEF,5.0,95,3.7,32.71568059921265
Cole Palmer,Chelsea,MID,6.2,215,7.2,32.71568059921265
Mohamed Salah,Liverpool,MID,13.5,190,6.6,32.71568059921265
Bryan Mbeumo,Brentford,MID,6.8,110,5.0,32.71568059921265
Kai Havertz,Arsenal,MID,7.5,163,4.8,32.71568059921265
Alexander Isak,Newcastle,FWD,8.3,147,5.7,32.71568059921265
Dominic Solanke,Bournemouth,FWD,7.2,166,4.7,32.71568059921265
