name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,4.078012466430664
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,4.078012466430664
William Saliba,Arsenal,DEF,5.9,146,4.3,4.078012466430664
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,133,4.2,4.078012466430664
Fabian Schär,Newcastle,DEF,5.7,121,3.7,4.078012466430664
Mohamed Salah,Liverpool,MID,13.6,189,6.8,4.078012466430664
Phil Foden,Man City,MID,8.3,199,6.4,4.078012466430664
Michael Olise,Crystal Palace,MID,5.6,89,5.9,4.078012466430664
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,4.078012466430664
Jean-Philippe Mateta,Crystal Palace,FWD,5.1,128,4.1,4.078012466430664
Rodrigo Muniz Carvalho,Fulham,FWD,4.5,86,3.9,4.078012466430664
