name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,121,4.3,3.3161191940307617
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,3.3161191940307617
William Saliba,Arsenal,DEF,5.9,146,4.3,3.3161191940307617
Pedro Porro,Spurs,DEF,5.8,110,3.8,3.3161191940307617
Fabian Schär,Newcastle,DEF,5.7,121,3.7,3.3161191940307617
Mohamed Salah,Liverpool,MID,13.6,189,6.8,3.3161191940307617
Son Heung-min,Spurs,MID,9.9,186,6.4,3.3161191940307617
Anthony Gordon,Newcastle,MID,6.2,159,5.1,3.3161191940307617
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,3.3161191940307617
Jean-Philippe Mateta,Crystal Palace,FWD,5.1,128,4.1,3.3161191940307617
Rodrigo Muniz Carvalho,Fulham,FWD,4.5,86,3.9,3.3161191940307617
