name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,3.625415802001953
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,3.625415802001953
Fabian Schär,Newcastle,DEF,5.7,121,3.7,3.625415802001953
Jakub Kiwior,Arsenal,DEF,4.3,65,3.6,3.625415802001953
Kyle Walker,Man City,DEF,5.3,98,3.6,3.625415802001953
Son Heung-min,Spurs,MID,9.9,186,6.4,3.625415802001953
Phil Foden,Man City,MID,8.3,199,6.4,3.625415802001953
Kevin De Bruyne,Man City,MID,10.4,71,5.5,3.625415802001953
Anthony Gordon,Newcastle,MID,6.2,159,5.1,3.625415802001953
Ollie Watkins,Aston Villa,FWD,9.0,217,6.6,3.625415802001953
Rodrigo Muniz Carvalho,Fulham,FWD,4.5,86,3.9,3.625415802001953
