name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,121,4.3,3.7138049602508545
Benjamin White,Arsenal,DEF,6.0,167,5.1,3.7138049602508545
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,3.7138049602508545
Fabian Schär,Newcastle,DEF,5.7,121,3.7,3.7138049602508545
Nathan Aké,Man City,DEF,5.0,89,3.6,3.7138049602508545
Mohamed Salah,Liverpool,MID,13.6,189,6.8,3.7138049602508545
Son Heung-min,Spurs,MID,9.9,186,6.4,3.7138049602508545
Michael Olise,Crystal Palace,MID,5.6,89,5.9,3.7138049602508545
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,3.7138049602508545
Chris Wood,Nott'm Forest,FWD,4.8,112,4.1,3.7138049602508545
Rodrigo Muniz Carvalho,Fulham,FWD,4.5,86,3.9,3.7138049602508545
