name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,3.4503307342529297
Benjamin White,Arsenal,DEF,6.0,167,5.1,3.4503307342529297
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,3.4503307342529297
Fabian Schär,Newcastle,DEF,5.7,121,3.7,3.4503307342529297
Nathan Aké,Man City,DEF,5.0,89,3.6,3.4503307342529297
Son Heung-min,Spurs,MID,9.9,186,6.4,3.4503307342529297
Phil Foden,Man City,MID,8.3,199,6.4,3.4503307342529297
Bukayo Saka,Arsenal,MID,9.0,202,6.3,3.4503307342529297
Bryan Mbeumo,Brentford,MID,6.8,109,5.2,3.4503307342529297
Alexander Isak,Newcastle,FWD,8.2,134,5.4,3.4503307342529297
Dominic Solanke,Bournemouth,FWD,7.3,164,4.8,3.4503307342529297
