name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,3.6856048107147217
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,3.6856048107147217
Fabian Schär,Newcastle,DEF,5.7,121,3.7,3.6856048107147217
Jakub Kiwior,Arsenal,DEF,4.3,65,3.6,3.6856048107147217
Kyle Walker,Man City,DEF,5.3,98,3.6,3.6856048107147217
Cole Palmer,Chelsea,MID,6.2,207,7.4,3.6856048107147217
Mohamed Salah,Liverpool,MID,13.6,189,6.8,3.6856048107147217
Bukayo Saka,Arsenal,MID,9.0,202,6.3,3.6856048107147217
Pascal Groß,Brighton,MID,6.2,143,4.6,3.6856048107147217
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,121,4.3,3.6856048107147217
Jean-Philippe Mateta,Crystal Palace,FWD,5.1,128,4.1,3.6856048107147217
