name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,95,4.0,3.425865650177002
Benjamin White,Arsenal,DEF,6.0,167,5.1,3.425865650177002
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,3.425865650177002
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,133,4.2,3.425865650177002
Manuel Akanji,Man City,DEF,5.0,88,3.5,3.425865650177002
Mohamed Salah,Liverpool,MID,13.6,189,6.8,3.425865650177002
Son Heung-min,Spurs,MID,9.9,186,6.4,3.425865650177002
Michael Olise,Crystal Palace,MID,5.6,89,5.9,3.425865650177002
Bryan Mbeumo,Brentford,MID,6.8,109,5.2,3.425865650177002
Alexander Isak,Newcastle,FWD,8.2,134,5.4,3.425865650177002
Nicolas Jackson,Chelsea,FWD,6.9,109,3.8,3.425865650177002
