name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,5.056948661804199
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,5.056948661804199
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,133,4.2,5.056948661804199
Pedro Porro,Spurs,DEF,5.8,110,3.8,5.056948661804199
Manuel Akanji,Man City,DEF,5.0,88,3.5,5.056948661804199
Cole Palmer,Chelsea,MID,6.2,207,7.4,5.056948661804199
Mohamed Salah,Liverpool,MID,13.6,189,6.8,5.056948661804199
Michael Olise,Crystal Palace,MID,5.6,89,5.9,5.056948661804199
Martin Ødegaard,Arsenal,MID,8.6,168,5.4,5.056948661804199
Ollie Watkins,Aston Villa,FWD,9.0,217,6.6,5.056948661804199
Rodrigo Muniz Carvalho,Fulham,FWD,4.5,86,3.9,5.056948661804199
