name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,3.3065578937530518
Benjamin White,Arsenal,DEF,6.0,167,5.1,3.3065578937530518
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,3.3065578937530518
William Saliba,Arsenal,DEF,5.9,146,4.3,3.3065578937530518
Rico Lewis,Man City,DEF,4.2,51,3.4,3.3065578937530518
Cole Palmer,Chelsea,MID,6.2,207,7.4,3.3065578937530518
Son Heung-min,Spurs,MID,9.9,186,6.4,3.3065578937530518
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,3.3065578937530518
Pascal Groß,Brighton,MID,6.2,143,4.6,3.3065578937530518
Alexander Isak,Newcastle,FWD,8.2,134,5.4,3.3065578937530518
Julián Álvarez,Man City,FWD,6.4,145,4.5,3.3065578937530518
