name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,3.562758684158325
Benjamin White,Arsenal,DEF,6.0,167,5.1,3.562758684158325
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,3.562758684158325
William Saliba,Arsenal,DEF,5.9,146,4.3,3.562758684158325
Manuel Akanji,Man City,DEF,5.0,88,3.5,3.562758684158325
Son Heung-min,Spurs,MID,9.9,186,6.4,3.562758684158325
Kevin De Bruyne,Man City,MID,10.4,71,5.5,3.562758684158325
Anthony Gordon,Newcastle,MID,6.2,159,5.1,3.562758684158325
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,3.562758684158325
Ollie Watkins,Aston Villa,FWD,9.0,217,6.6,3.562758684158325
Dominic Solanke,Bournemouth,FWD,7.3,164,4.8,3.562758684158325
