name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,3.4502532482147217
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,3.4502532482147217
William Saliba,Arsenal,DEF,5.9,146,4.3,3.4502532482147217
Nathan Aké,Man City,DEF,5.0,89,3.6,3.4502532482147217
Jakub Kiwior,Arsenal,DEF,4.3,65,3.6,3.4502532482147217
Mohamed Salah,Liverpool,MID,13.6,189,6.8,3.4502532482147217
Bukayo Saka,Arsenal,MID,9.0,202,6.3,3.4502532482147217
Michael Olise,Crystal Palace,MID,5.6,89,5.9,3.4502532482147217
Anthony Gordon,Newcastle,MID,6.2,159,5.1,3.4502532482147217
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,121,4.3,3.4502532482147217
Chris Wood,Nott'm Forest,FWD,4.8,112,4.1,3.4502532482147217
