name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,3.600374460220337
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,3.600374460220337
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,3.600374460220337
Fabian Schär,Newcastle,DEF,5.7,121,3.7,3.600374460220337
Kyle Walker,Man City,DEF,5.3,98,3.6,3.600374460220337
Cole Palmer,Chelsea,MID,6.2,207,7.4,3.600374460220337
Kevin De Bruyne,Man City,MID,10.4,71,5.5,3.600374460220337
Martin Ødegaard,Arsenal,MID,8.6,168,5.4,3.600374460220337
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,3.600374460220337
Alexander Isak,Newcastle,FWD,8.2,134,5.4,3.600374460220337
Dominic Solanke,Bournemouth,FWD,7.3,164,4.8,3.600374460220337
