name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,3.6763269901275635
William Saliba,Arsenal,DEF,5.9,146,4.3,3.6763269901275635
Fabian Schär,Newcastle,DEF,5.7,121,3.7,3.6763269901275635
Nathan Aké,Man City,DEF,5.0,89,3.6,3.6763269901275635
Kyle Walker,Man City,DEF,5.3,98,3.6,3.6763269901275635
Cole Palmer,Chelsea,MID,6.2,207,7.4,3.6763269901275635
Son Heung-min,Spurs,MID,9.9,186,6.4,3.6763269901275635
Kevin De Bruyne,Man City,MID,10.4,71,5.5,3.6763269901275635
Martin Ødegaard,Arsenal,MID,8.6,168,5.4,3.6763269901275635
Alexander Isak,Newcastle,FWD,8.2,134,5.4,3.6763269901275635
Rasmus Højlund,Man Utd,FWD,7.0,93,3.7,3.6763269901275635
