name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,106,3.9,3.5863730907440186
Benjamin White,Arsenal,DEF,6.0,167,5.1,3.5863730907440186
Fabian Schär,Newcastle,DEF,5.7,121,3.7,3.5863730907440186
Manuel Akanji,Man City,DEF,5.0,88,3.5,3.5863730907440186
Rico Lewis,Man City,DEF,4.2,51,3.4,3.5863730907440186
Cole Palmer,Chelsea,MID,6.2,207,7.4,3.5863730907440186
Mohamed Salah,Liverpool,MID,13.6,189,6.8,3.5863730907440186
Phil Foden,Man City,MID,8.3,199,6.4,3.5863730907440186
Martin Ødegaard,Arsenal,MID,8.6,168,5.4,3.5863730907440186
Ollie Watkins,Aston Villa,FWD,9.0,217,6.6,3.5863730907440186
Dominic Solanke,Bournemouth,FWD,7.3,164,4.8,3.5863730907440186
