name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,0.3070387840270996
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,133,4.2,0.3070387840270996
Jakub Kiwior,Arsenal,DEF,4.3,65,3.6,0.3070387840270996
John Stones,Man City,DEF,5.3,52,3.5,0.3070387840270996
Cristian Romero,Spurs,DEF,5.1,91,3.4,0.3070387840270996
Son Heung-min,Spurs,MID,9.9,186,6.4,0.3070387840270996
Phil Foden,Man City,MID,8.3,199,6.4,0.3070387840270996
Michael Olise,Crystal Palace,MID,5.6,89,5.9,0.3070387840270996
Kevin De Bruyne,Man City,MID,10.4,71,5.5,0.3070387840270996
Ollie Watkins,Aston Villa,FWD,9.0,217,6.6,0.3070387840270996
Carlton Morris,Luton,FWD,4.8,131,3.9,0.3070387840270996
