name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,106,3.9,0.3075721263885498
Benjamin White,Arsenal,DEF,6.0,167,5.1,0.3075721263885498
Fabian Schär,Newcastle,DEF,5.7,121,3.7,0.3075721263885498
Kyle Walker,Man City,DEF,5.3,98,3.6,0.3075721263885498
Rico Lewis,Man City,DEF,4.2,51,3.4,0.3075721263885498
Son Heung-min,Spurs,MID,9.9,186,6.4,0.3075721263885498
Kevin De Bruyne,Man City,MID,10.4,71,5.5,0.3075721263885498
Martin Ødegaard,Arsenal,MID,8.6,168,5.4,0.3075721263885498
Bryan Mbeumo,Brentford,MID,6.8,109,5.2,0.3075721263885498
Ollie Watkins,Aston Villa,FWD,9.0,217,6.6,0.3075721263885498
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,121,4.3,0.3075721263885498
