name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,106,3.9,0.3060486316680908
Benjamin White,Arsenal,DEF,6.0,167,5.1,0.3060486316680908
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,133,4.2,0.3060486316680908
Pedro Porro,Spurs,DEF,5.8,110,3.8,0.3060486316680908
Nathan Aké,Man City,DEF,5.0,89,3.6,0.3060486316680908
Cole Palmer,Chelsea,MID,6.2,207,7.4,0.3060486316680908
Mohamed Salah,Liverpool,MID,13.6,189,6.8,0.3060486316680908
Phil Foden,Man City,MID,8.3,199,6.4,0.3060486316680908
Bryan Mbeumo,Brentford,MID,6.8,109,5.2,0.3060486316680908
Alexander Isak,Newcastle,FWD,8.2,134,5.4,0.3060486316680908
Darwin Núñez Ribeiro,Liverpool,FWD,7.7,128,4.0,0.3060486316680908
