name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,121,4.3,0.31484270095825195
Benjamin White,Arsenal,DEF,6.0,167,5.1,0.31484270095825195
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,0.31484270095825195
Nathan Aké,Man City,DEF,5.0,89,3.6,0.31484270095825195
Rico Lewis,Man City,DEF,4.2,51,3.4,0.31484270095825195
Mohamed Salah,Liverpool,MID,13.6,189,6.8,0.31484270095825195
Michael Olise,Crystal Palace,MID,5.6,89,5.9,0.31484270095825195
Martin Ødegaard,Arsenal,MID,8.6,168,5.4,0.31484270095825195
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,0.31484270095825195
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,121,4.3,0.31484270095825195
Carlton Morris,Luton,FWD,4.8,131,3.9,0.31484270095825195
