name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,0.30588293075561523
William Saliba,Arsenal,DEF,5.9,146,4.3,0.30588293075561523
Pedro Porro,Spurs,DEF,5.8,110,3.8,0.30588293075561523
Fabian Schär,Newcastle,DEF,5.7,121,3.7,0.30588293075561523
Jakub Kiwior,Arsenal,DEF,4.3,65,3.6,0.30588293075561523
Mohamed Salah,Liverpool,MID,13.6,189,6.8,0.30588293075561523
Son Heung-min,Spurs,MID,9.9,186,6.4,0.30588293075561523
Michael Olise,Crystal Palace,MID,5.6,89,5.9,0.30588293075561523
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,0.30588293075561523
Ollie Watkins,Aston Villa,FWD,9.0,217,6.6,0.30588293075561523
Carlton Morris,Luton,FWD,4.8,131,3.9,0.30588293075561523
