name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,95,4.0,0.30652379989624023
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,0.30652379989624023
William Saliba,Arsenal,DEF,5.9,146,4.3,0.30652379989624023
Pedro Porro,Spurs,DEF,5.8,110,3.8,0.30652379989624023
John Stones,Man City,DEF,5.3,52,3.5,0.30652379989624023
Mohamed Salah,Liverpool,MID,13.6,189,6.8,0.30652379989624023
Phil Foden,Man City,MID,8.3,199,6.4,0.30652379989624023
Anthony Gordon,Newcastle,MID,6.2,159,5.1,0.30652379989624023
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,0.30652379989624023
Alexander Isak,Newcastle,FWD,8.2,134,5.4,0.30652379989624023
Chris Wood,Nott'm Forest,FWD,4.8,112,4.1,0.30652379989624023
