name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,0.307661771774292
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,0.307661771774292
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,0.307661771774292
Manuel Akanji,Man City,DEF,5.0,88,3.5,0.307661771774292
Virgil van Dijk,Liverpool,DEF,6.7,108,3.4,0.307661771774292
Mohamed Salah,Liverpool,MID,13.6,189,6.8,0.307661771774292
Son Heung-min,Spurs,MID,9.9,186,6.4,0.307661771774292
Bryan Mbeumo,Brentford,MID,6.8,109,5.2,0.307661771774292
Anthony Gordon,Newcastle,MID,6.2,159,5.1,0.307661771774292
Jean-Philippe Mateta,Crystal Palace,FWD,5.1,128,4.1,0.307661771774292
Rodrigo Muniz Carvalho,Fulham,FWD,4.5,86,3.9,0.307661771774292
