name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,0.3062703609466553
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,0.3062703609466553
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,0.3062703609466553
Jakub Kiwior,Arsenal,DEF,4.3,65,3.6,0.3062703609466553
Kyle Walker,Man City,DEF,5.3,98,3.6,0.3062703609466553
Cole Palmer,Chelsea,MID,6.2,207,7.4,0.3062703609466553
Mohamed Salah,Liverpool,MID,13.6,189,6.8,0.3062703609466553
Anthony Gordon,Newcastle,MID,6.2,159,5.1,0.3062703609466553
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,0.3062703609466553
Chris Wood,Nott'm Forest,FWD,4.8,112,4.1,0.3062703609466553
David Datro Fofana,Burnley,FWD,5.0,47,3.9,0.3062703609466553
