name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,0.3060286045074463
Benjamin White,Arsenal,DEF,6.0,167,5.1,0.3060286045074463
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,0.3060286045074463
Fabian Schär,Newcastle,DEF,5.7,121,3.7,0.3060286045074463
Nathan Aké,Man City,DEF,5.0,89,3.6,0.3060286045074463
Mohamed Salah,Liverpool,MID,13.6,189,6.8,0.3060286045074463
Kevin De Bruyne,Man City,MID,10.4,71,5.5,0.3060286045074463
Bryan Mbeumo,Brentford,MID,6.8,109,5.2,0.3060286045074463
Pascal Groß,Brighton,MID,6.2,143,4.6,0.3060286045074463
David Datro Fofana,Burnley,FWD,5.0,47,3.9,0.3060286045074463
Yoane Wissa,Brentford,FWD,5.7,108,3.6,0.3060286045074463
