name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,95,4.0,0.30309629440307617
Benjamin White,Arsenal,DEF,6.0,167,5.1,0.30309629440307617
Nathan Aké,Man City,DEF,5.0,89,3.6,0.30309629440307617
Manuel Akanji,Man City,DEF,5.0,88,3.5,0.30309629440307617
Rico Lewis,Man City,DEF,4.2,51,3.4,0.30309629440307617
Cole Palmer,Chelsea,MID,6.2,207,7.4,0.30309629440307617
Son Heung-min,Spurs,MID,9.9,186,6.4,0.30309629440307617
Michael Olise,Crystal Palace,MID,5.6,89,5.9,0.30309629440307617
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,0.30309629440307617
Alexander Isak,Newcastle,FWD,8.2,134,5.4,0.30309629440307617
Dominic Solanke,Bournemouth,FWD,7.3,164,4.8,0.30309629440307617
