name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,121,4.3,0.30596256256103516
Pedro Porro,Spurs,DEF,5.8,110,3.8,0.30596256256103516
Fabian Schär,Newcastle,DEF,5.7,121,3.7,0.30596256256103516
John Stones,Man City,DEF,5.3,52,3.5,0.30596256256103516
Rico Lewis,Man City,DEF,4.2,51,3.4,0.30596256256103516
Mohamed Salah,Liverpool,MID,13.6,189,6.8,0.30596256256103516
Phil Foden,Man City,MID,8.3,199,6.4,0.30596256256103516
Michael Olise,Crystal Palace,MID,5.6,89,5.9,0.30596256256103516
Kevin De Bruyne,Man City,MID,10.4,71,5.5,0.30596256256103516
Rodrigo Muniz Carvalho,Fulham,FWD,4.5,86,3.9,0.30596256256103516
Nicolas Jackson,Chelsea,FWD,6.9,109,3.8,0.30596256256103516
