name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,0.3084688186645508
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,0.3084688186645508
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,133,4.2,0.3084688186645508
Pedro Porro,Spurs,DEF,5.8,110,3.8,0.3084688186645508
Kyle Walker,Man City,DEF,5.3,98,3.6,0.3084688186645508
Cole Palmer,Chelsea,MID,6.2,207,7.4,0.3084688186645508
Mohamed Salah,Liverpool,MID,13.6,189,6.8,0.3084688186645508
Phil Foden,Man City,MID,8.3,199,6.4,0.3084688186645508
Rodrigo Hernandez,Man City,MID,5.6,132,4.6,0.3084688186645508
Dominic Solanke,Bournemouth,FWD,7.3,164,4.8,0.3084688186645508
Chris Wood,Nott'm Forest,FWD,4.8,112,4.1,0.3084688186645508
