name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,106,3.9,0.30834317207336426
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,0.30834317207336426
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,133,4.2,0.30834317207336426
Pedro Porro,Spurs,DEF,5.8,110,3.8,0.30834317207336426
Fabian Schär,Newcastle,DEF,5.7,121,3.7,0.30834317207336426
Cole Palmer,Chelsea,MID,6.2,207,7.4,0.30834317207336426
Phil Foden,Man City,MID,8.3,199,6.4,0.30834317207336426
Kevin De Bruyne,Man City,MID,10.4,71,5.5,0.30834317207336426
James Maddison,Spurs,MID,7.8,101,4.6,0.30834317207336426
Chris Wood,Nott'm Forest,FWD,4.8,112,4.1,0.30834317207336426
Jean-Philippe Mateta,Crystal Palace,FWD,5.1,128,4.1,0.30834317207336426
