name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,95,4.0,0.30818986892700195
Benjamin White,Arsenal,DEF,6.0,167,5.1,0.30818986892700195
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,0.30818986892700195
Fabian Schär,Newcastle,DEF,5.7,121,3.7,0.30818986892700195
Manuel Akanji,Man City,DEF,5.0,88,3.5,0.30818986892700195
Phil Foden,Man City,MID,8.3,199,6.4,0.30818986892700195
Bukayo Saka,Arsenal,MID,9.0,202,6.3,0.30818986892700195
Michael Olise,Crystal Palace,MID,5.6,89,5.9,0.30818986892700195
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,0.30818986892700195
Dominic Solanke,Bournemouth,FWD,7.3,164,4.8,0.30818986892700195
Julián Álvarez,Man City,FWD,6.4,145,4.5,0.30818986892700195
