name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,0.3038330078125
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,0.3038330078125
Pedro Porro,Spurs,DEF,5.8,110,3.8,0.3038330078125
Manuel Akanji,Man City,DEF,5.0,88,3.5,0.3038330078125
John Stones,Man City,DEF,5.3,52,3.5,0.3038330078125
Cole Palmer,Chelsea,MID,6.2,207,7.4,0.3038330078125
Mohamed Salah,Liverpool,MID,13.6,189,6.8,0.3038330078125
Michael Olise,Crystal Palace,MID,5.6,89,5.9,0.3038330078125
Pascal Groß,Brighton,MID,6.2,143,4.6,0.3038330078125
Darwin Núñez Ribeiro,Liverpool,FWD,7.7,128,4.0,0.3038330078125
Rasmus Højlund,Man Utd,FWD,7.0,93,3.7,0.3038330078125
