name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,0.3074195384979248
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,133,4.2,0.3074195384979248
Kyle Walker,Man City,DEF,5.3,98,3.6,0.3074195384979248
Rico Lewis,Man City,DEF,4.2,51,3.4,0.3074195384979248
Cristian Romero,Spurs,DEF,5.1,91,3.4,0.3074195384979248
Mohamed Salah,Liverpool,MID,13.6,189,6.8,0.3074195384979248
Michael Olise,Crystal Palace,MID,5.6,89,5.9,0.3074195384979248
Martin Ødegaard,Arsenal,MID,8.6,168,5.4,0.3074195384979248
Bryan Mbeumo,Brentford,MID,6.8,109,5.2,0.3074195384979248
Alexander Isak,Newcastle,FWD,8.2,134,5.4,0.3074195384979248
David Datro Fofana,Burnley,FWD,5.0,47,3.9,0.3074195384979248
