name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,0.30913400650024414
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,0.30913400650024414
Pedro Porro,Spurs,DEF,5.8,110,3.8,0.30913400650024414
Fabian Schär,Newcastle,DEF,5.7,121,3.7,0.30913400650024414
Nathan Aké,Man City,DEF,5.0,89,3.6,0.30913400650024414
Son Heung-min,Spurs,MID,9.9,186,6.4,0.30913400650024414
Martin Ødegaard,Arsenal,MID,8.6,168,5.4,0.30913400650024414
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,0.30913400650024414
Douglas Luiz Soares de Paulo,Aston Villa,MID,5.4,142,4.6,0.30913400650024414
Julián Álvarez,Man City,FWD,6.4,145,4.5,0.30913400650024414
Darwin Núñez Ribeiro,Liverpool,FWD,7.7,128,4.0,0.30913400650024414
