name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,106,3.9,0.3083212375640869
Benjamin White,Arsenal,DEF,6.0,167,5.1,0.3083212375640869
Nathan Aké,Man City,DEF,5.0,89,3.6,0.3083212375640869
John Stones,Man City,DEF,5.3,52,3.5,0.3083212375640869
Cristian Romero,Spurs,DEF,5.1,91,3.4,0.3083212375640869
Cole Palmer,Chelsea,MID,6.2,207,7.4,0.3083212375640869
Mohamed Salah,Liverpool,MID,13.6,189,6.8,0.3083212375640869
Son Heung-min,Spurs,MID,9.9,186,6.4,0.3083212375640869
Michael Olise,Crystal Palace,MID,5.6,89,5.9,0.3083212375640869
Julián Álvarez,Man City,FWD,6.4,145,4.5,0.3083212375640869
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,121,4.3,0.3083212375640869
