name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,0.34348154067993164
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,0.34348154067993164
William Saliba,Arsenal,DEF,5.9,146,4.3,0.34348154067993164
Jakub Kiwior,Arsenal,DEF,4.3,65,3.6,0.34348154067993164
John Stones,Man City,DEF,5.3,52,3.5,0.34348154067993164
Cole Palmer,Chelsea,MID,6.2,207,7.4,0.34348154067993164
Son Heung-min,Spurs,MID,9.9,186,6.4,0.34348154067993164
Bukayo Saka,Arsenal,MID,9.0,202,6.3,0.34348154067993164
Michael Olise,Crystal Palace,MID,5.6,89,5.9,0.34348154067993164
Ollie Watkins,Aston Villa,FWD,9.0,217,6.6,0.34348154067993164
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,121,4.3,0.34348154067993164
