name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,106,3.9,0.30698728561401367
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,0.30698728561401367
William Saliba,Arsenal,DEF,5.9,146,4.3,0.30698728561401367
Pedro Porro,Spurs,DEF,5.8,110,3.8,0.30698728561401367
Fabian Schär,Newcastle,DEF,5.7,121,3.7,0.30698728561401367
Bryan Mbeumo,Brentford,MID,6.8,109,5.2,0.30698728561401367
Anthony Gordon,Newcastle,MID,6.2,159,5.1,0.30698728561401367
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,0.30698728561401367
Pascal Groß,Brighton,MID,6.2,143,4.6,0.30698728561401367
Alexander Isak,Newcastle,FWD,8.2,134,5.4,0.30698728561401367
Julián Álvarez,Man City,FWD,6.4,145,4.5,0.30698728561401367
