name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,30.764773845672607
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,30.764773845672607
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,30.764773845672607
Pedro Porro,Spurs,DEF,5.8,110,3.8,30.764773845672607
Fabian Schär,Newcastle,DEF,5.7,121,3.7,30.764773845672607
Mohamed Salah,Liverpool,MID,13.6,189,6.8,30.764773845672607
Bryan Mbeumo,Brentford,MID,6.8,109,5.2,30.764773845672607
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,30.764773845672607
Pascal Groß,Brighton,MID,6.2,143,4.6,30.764773845672607
Dominic Solanke,Bournemouth,FWD,7.3,164,4.8,30.764773845672607
Julián Álvarez,Man City,FWD,6.4,145,4.5,30.764773845672607
