name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,95,4.0,30.31243324279785
Benjamin White,Arsenal,DEF,6.0,167,5.1,30.31243324279785
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,30.31243324279785
Fabian Schär,Newcastle,DEF,5.7,121,3.7,30.31243324279785
John Stones,Man City,DEF,5.3,52,3.5,30.31243324279785
Phil Foden,Man City,MID,8.3,199,6.4,30.31243324279785
Bryan Mbeumo,Brentford,MID,6.8,109,5.2,30.31243324279785
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,30.31243324279785
Pascal Groß,Brighton,MID,6.2,143,4.6,30.31243324279785
Ollie Watkins,Aston Villa,FWD,9.0,217,6.6,30.31243324279785
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,121,4.3,30.31243324279785
