name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,30.451791763305664
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,30.451791763305664
Fabian Schär,Newcastle,DEF,5.7,121,3.7,30.451791763305664
Jakub Kiwior,Arsenal,DEF,4.3,65,3.6,30.451791763305664
John Stones,Man City,DEF,5.3,52,3.5,30.451791763305664
Cole Palmer,Chelsea,MID,6.2,207,7.4,30.451791763305664
Mohamed Salah,Liverpool,MID,13.6,189,6.8,30.451791763305664
Son Heung-min,Spurs,MID,9.9,186,6.4,30.451791763305664
Phil Foden,Man City,MID,8.3,199,6.4,30.451791763305664
Ollie Watkins,Aston Villa,FWD,9.0,217,6.6,30.451791763305664
Jean-Philippe Mateta,Crystal Palace,FWD,5.1,128,4.1,30.451791763305664
