name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,98,3.9,3.3394172191619873
Benjamin White,Arsenal,DEF,6.1,168,4.9,3.3394172191619873
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,3.3394172191619873
Nathan Aké,Man City,DEF,5.0,95,3.7,3.3394172191619873
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,3.3394172191619873
Cole Palmer,Chelsea,MID,6.2,215,7.2,3.3394172191619873
Son Heung-min,Spurs,MID,9.9,195,6.3,3.3394172191619873
Bryan Mbeumo,Brentford,MID,6.8,110,5.0,3.3394172191619873
Kai Havertz,Arsenal,MID,7.5,163,4.8,3.3394172191619873
Ollie Watkins,Aston Villa,FWD,9.0,219,6.4,3.3394172191619873
Alexander Isak,Newcastle,FWD,8.3,147,5.7,3.3394172191619873
