name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,3.3217267990112305
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,3.3217267990112305
Joško Gvardiol,Man City,DEF,5.0,88,3.7,3.3217267990112305
Pedro Porro,Spurs,DEF,5.8,112,3.6,3.3217267990112305
Marcos Senesi,Bournemouth,DEF,4.4,97,3.5,3.3217267990112305
Cole Palmer,Chelsea,MID,6.2,215,7.2,3.3217267990112305
Mohamed Salah,Liverpool,MID,13.5,190,6.6,3.3217267990112305
Phil Foden,Man City,MID,8.4,199,6.4,3.3217267990112305
Son Heung-min,Spurs,MID,9.9,195,6.3,3.3217267990112305
Alexander Isak,Newcastle,FWD,8.3,147,5.7,3.3217267990112305
Julián Álvarez,Man City,FWD,6.4,147,4.5,3.3217267990112305
