name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,3.271441698074341
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,134,4.1,3.271441698074341
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,3.271441698074341
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,3.271441698074341
Marcos Senesi,Bournemouth,DEF,4.4,97,3.5,3.271441698074341
Cole Palmer,Chelsea,MID,6.2,215,7.2,3.271441698074341
Mohamed Salah,Liverpool,MID,13.5,190,6.6,3.271441698074341
Phil Foden,Man City,MID,8.4,199,6.4,3.271441698074341
Jarrod Bowen,West Ham,MID,7.6,178,5.6,3.271441698074341
Dominic Solanke,Bournemouth,FWD,7.2,166,4.7,3.271441698074341
Carlton Morris,Luton,FWD,4.8,138,3.9,3.271441698074341
