name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,107,3.8,3.276918888092041
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,134,4.1,3.276918888092041
Kyle Walker,Man City,DEF,5.4,106,3.8,3.276918888092041
Pedro Porro,Spurs,DEF,5.8,112,3.6,3.276918888092041
Jakub Kiwior,Arsenal,DEF,4.2,66,3.5,3.276918888092041
Mohamed Salah,Liverpool,MID,13.5,190,6.6,3.276918888092041
Michael Olise,Crystal Palace,MID,5.6,91,5.7,3.276918888092041
Anthony Gordon,Newcastle,MID,6.3,169,5.3,3.276918888092041
Bryan Mbeumo,Brentford,MID,6.8,110,5.0,3.276918888092041
Erling Haaland,Man City,FWD,14.1,179,6.6,3.276918888092041
Alexander Isak,Newcastle,FWD,8.3,147,5.7,3.276918888092041
