name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,107,3.8,3.2856783866882324
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,3.2856783866882324
Manuel Akanji,Man City,DEF,5.0,96,3.7,3.2856783866882324
Pedro Porro,Spurs,DEF,5.8,112,3.6,3.2856783866882324
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,3.2856783866882324
Bukayo Saka,Arsenal,MID,9.0,214,6.5,3.2856783866882324
Phil Foden,Man City,MID,8.4,199,6.4,3.2856783866882324
Son Heung-min,Spurs,MID,9.9,195,6.3,3.2856783866882324
Michael Olise,Crystal Palace,MID,5.6,91,5.7,3.2856783866882324
Erling Haaland,Man City,FWD,14.1,179,6.6,3.2856783866882324
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,126,4.3,3.2856783866882324
