name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,98,3.9,3.2614407539367676
Benjamin White,Arsenal,DEF,6.1,168,4.9,3.2614407539367676
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,3.2614407539367676
Manuel Akanji,Man City,DEF,5.0,96,3.7,3.2614407539367676
John Stones,Man City,DEF,5.3,52,3.5,3.2614407539367676
Mohamed Salah,Liverpool,MID,13.5,190,6.6,3.2614407539367676
Michael Olise,Crystal Palace,MID,5.6,91,5.7,3.2614407539367676
Jarrod Bowen,West Ham,MID,7.6,178,5.6,3.2614407539367676
Kai Havertz,Arsenal,MID,7.5,163,4.8,3.2614407539367676
David Datro Fofana,Burnley,FWD,5.0,48,3.7,3.2614407539367676
Rasmus Højlund,Man Utd,FWD,7.1,95,3.7,3.2614407539367676
