name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,3.2784483432769775
Pedro Porro,Spurs,DEF,5.8,112,3.6,3.2784483432769775
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,3.2784483432769775
Marcos Senesi,Bournemouth,DEF,4.4,97,3.5,3.2784483432769775
John Stones,Man City,DEF,5.3,52,3.5,3.2784483432769775
Mohamed Salah,Liverpool,MID,13.5,190,6.6,3.2784483432769775
Son Heung-min,Spurs,MID,9.9,195,6.3,3.2784483432769775
Jarrod Bowen,West Ham,MID,7.6,178,5.6,3.2784483432769775
Bryan Mbeumo,Brentford,MID,6.8,110,5.0,3.2784483432769775
Alexander Isak,Newcastle,FWD,8.3,147,5.7,3.2784483432769775
Julián Álvarez,Man City,FWD,6.4,147,4.5,3.2784483432769775
